Rank,School Name,Prior Rank,Scaled Score,Prior Scaled Score
257,Lake Forest College,214,"64.6
(3.1%)",66.7
258,Christopher Newport University,228,"64.6
(1.5%)",65.6
259,Seattle University,250,"64.6
(0.2%)",64.7
260,CUNY Bernard M Baruch College,461,"64.5
(15.5%)",55.9
261,Susquehanna University,225,"64.5
(2.0%)",65.8
262,Howard University,325,"64.4
(5.2%)",61.2
263,The University of Texas at Dallas,310,"64.4
(4.2%)",61.8
264,The University of Alabama,291,"64.4
(3.3%)",62.3
265,Brigham Young University,400,"64.4
(9.9%)",58.6
266,Franciscan University of Steubenville,294,"64.3
(3.3%)",62.3
267,Florida International University,447,"64.3
(13.5%)",56.6
268,Austin College,336,"64.3
(5.9%)",60.7
269,Stonehill College,232,"64.3
(1.8%)",65.5
270,Augustana College,237,"64.1
(1.5%)",65.1
271,Salve Regina University,239,"64.1
(1.4%)",65.0
272,Touro University,309,"64.0
(3.5%)",61.8
273,Belmont University,297,"63.9
(2.9%)",62.2
274,Nazareth University,327,"63.9
(4.6%)",61.1
275,Union University,296,"63.9
(2.7%)",62.2
276,University of Central Florida,346,"63.8
(5.8%)",60.2
277,Talmudical Yeshiva of Philadelphia,"1,002","63.6
(55.1%)",41.0
278,Cedarville University,279,"63.6
(0.9%)",63.0
279,California Polytechnic State University-San Luis Obispo,307,"63.6
(2.7%)",61.9
280,California Lutheran University,272,"63.5
(0.3%)",63.4
281,Citadel Military College of South Carolina,268,"63.5
(0.4%)",63.7
282,St. John Fisher University,258,"63.5
(1.3%)",64.3
283,Iowa State University,299,"63.5
(2.1%)",62.1
284,Bethel University,275,"63.4
(0.2%)",63.3
285,Ramapo College of New Jersey,249,"63.4
(2.0%)",64.7
286,Sarah Lawrence College,184,"63.4
(7.5%)",68.5
287,Drexel University,345,"63.3
(5.0%)",60.3
288,Manhattan School of Music,306,"63.2
(2.1%)",61.9
289,Xavier University,308,"63.1
(2.0%)",61.9
290,University of Oregon,283,"63.1
(0.5%)",62.8
291,The New England Conservatory of Music,395,"63.1
(7.4%)",58.7
292,Bennington College,262,"62.9
(1.7%)",64.0
293,Maine Maritime Academy,229,"62.8
(4.1%)",65.5
294,DePaul University,303,"62.8
(1.5%)",61.9
295,St. John's University-New York,389,"62.8
(6.6%)",58.9
296,Freed-Hardeman University,402,"62.8
(7.3%)",58.5
297,Randolph-Macon College,391,"62.8
(6.7%)",58.8
298,Saint Norbert College,332,"62.7
(2.8%)",61.0
299,Earlham College,351,"62.7
(4.3%)",60.1
300,Luther College,238,"62.7
(3.7%)",65.1
301,Lipscomb University,318,"62.6
(1.8%)",61.5
302,Springfield College,254,"62.6
(3.0%)",64.6
303,University of Mississippi,370,"62.6
(5.5%)",59.3
304,University of the Pacific,368,"62.6
(5.5%)",59.4
305,University of Puget Sound,174,"62.6
(9.4%)",69.1
306,Concordia College at Moorhead,348,"62.6
(3.9%)",60.2
307,Molloy University,342,"62.6
(3.5%)",60.4
308,Transylvania University,222,"62.5
(5.4%)",66.1
309,Gordon College,333,"62.5
(2.4%)",61.0
310,Bradley University,274,"62.3
(1.6%)",63.3
311,Albany College of Pharmacy and Health Sciences,403,"62.2
(6.4%)",58.5
312,Cornell College,359,"62.2
(4.1%)",59.8
313,University of Redlands,301,"62.2
(0.3%)",62.0
314,University at Albany,341,"62.2
(2.8%)",60.5
315,University of Massachusetts-Lowell,408,"62.2
(6.5%)",58.4
316,Agnes Scott College,241,"62.1
(4.4%)",65.0
317,St. John's College,243,"62.1
(4.2%)",64.9
318,Saint Vincent College,311,"62.1
(0.4%)",61.8
319,Saint Francis University,304,"62.1
(0.3%)",61.9
320,Biola University,281,"62.1
(1.4%)",62.9
321,University of Maryland-Baltimore County,355,"62.1
(3.4%)",60.0
322,University of Arizona,387,"62.1
(5.3%)",58.9
323,Rowan University,401,"62.0
(5.9%)",58.6
324,Maryland Institute College of Art,263,"62.0
(2.9%)",63.9
325,Washington & Jefferson College,369,"62.0
(4.5%)",59.3
326,University of Rhode Island,360,"62.0
(3.6%)",59.8
327,George Mason University,340,"62.0
(2.4%)",60.5
328,University of Kentucky,397,"61.9
(5.5%)",58.7
329,University of Kansas,419,"61.9
(7.1%)",57.8
330,Juniata College,251,"61.9
(4.3%)",64.7
331,Saint Michael's College,205,"61.7
(8.3%)",67.3
332,Hendrix College,375,"61.7
(4.2%)",59.2
333,Wagner College,293,"61.7
(1.0%)",62.3
334,Illinois Institute of Technology,314,"61.6
(0.0%)",61.6
335,University of Arkansas,376,"61.6
(4.1%)",59.2
336,Ohio Northern University,270,"61.5
(3.2%)",63.6
337,Thomas Jefferson University,320,"61.4
(0.0%)",61.4
338,American College of the Building Arts,570,"61.4
(16.7%)",52.6
339,St. Mary's College of Maryland,267,"61.4
(3.8%)",63.8
340,Southwestern University,280,"61.4
(2.6%)",63.0
341,Allegheny College,242,"61.4
(5.5%)",64.9
342,High Point University,365,"61.4
(3.1%)",59.5
343,University of Detroit Mercy,337,"61.3
(1.0%)",60.7
344,Monmouth University,266,"61.3
(3.9%)",63.8
345,Augustana University,356,"61.3
(2.2%)",60.0
346,University of North Carolina Wilmington,323,"61.3
(0.0%)",61.3
347,Beloit College,201,"61.2
(9.2%)",67.4
347,Southeast Missouri Hospital College of Nursing and Health Sciences,271,"61.2
(3.5%)",63.4
349,University of Mary Washington,372,"61.1
(3.0%)",59.3
350,State University of New York at New Paltz,305,"61.1
(1.3%)",61.9
351,Appalachian State University,349,"61.0
(1.3%)",60.2
352,Roger Williams University,313,"61.0
(1.2%)",61.7
353,Baldwin Wallace University,378,"61.0
(3.0%)",59.2
354,Canisius University,317,"60.9
(1.0%)",61.5
355,University of Evansville,436,"60.8
(6.5%)",57.1
356,Marywood University,427,"60.8
(5.8%)",57.5
357,Emmanuel College,352,"60.6
(0.8%)",60.1
358,Millsaps College,424,"60.6
(5.2%)",57.6
359,John Brown University,457,"60.6
(7.9%)",56.1
360,Rochester Institute of Technology,377,"60.6
(2.4%)",59.2
361,Hampden-Sydney College,227,"60.6
(7.7%)",65.6
362,Rockhurst University,362,"60.5
(1.5%)",59.6
363,University of California-Riverside,354,"60.5
(0.8%)",60.0
364,Moravian University,353,"60.4
(0.7%)",60.0
365,St Bonaventure University,428,"60.4
(5.1%)",57.5
366,Harding University,418,"60.4
(4.4%)",57.9
367,Colorado State University-Fort Collins,373,"60.4
(1.8%)",59.3
368,University of Cincinnati-Main Campus,411,"60.3
(3.6%)",58.2
369,Wentworth Institute of Technology,450,"60.3
(6.7%)",56.5
370,Bellarmine University,470,"60.3
(8.2%)",55.7
371,Ohio Wesleyan University,363,"60.3
(1.1%)",59.6
372,Rider University,371,"60.3
(1.6%)",59.3
373,Knox College,288,"60.2
(3.6%)",62.5
374,Niagara University,287,"60.2
(3.7%)",62.5
375,Seton Hill University,439,"60.2
(5.5%)",57.0
376,North Central College,456,"60.1
(6.9%)",56.3
377,Houghton University,506,"60.1
(10.0%)",54.6
378,DeSales University,421,"60.1
(4.0%)",57.7
379,Stockton University,386,"60.1
(1.9%)",58.9
380,Western New England University,416,"60.1
(3.5%)",58.0
381,St- Joseph's University-New York,347,"60.0
(0.4%)",60.2
382,University of California-Santa Cruz,398,"59.9
(2.2%)",58.6
383,University of Houston,486,"59.9
(8.4%)",55.2
384,Kansas State University,636,"59.8
(18.3%)",50.6
385,John Paul the Great Catholic University,584,"59.8
(14.7%)",52.1
386,Simpson College,405,"59.8
(2.2%)",58.5
387,Truman State University,298,"59.8
(3.8%)",62.1
388,Cleveland Institute of Art,324,"59.8
(2.4%)",61.3
389,Chatham University,454,"59.7
(6.1%)",56.3
390,University of Nebraska-Lincoln,469,"59.7
(7.2%)",55.7
391,Covenant College,339,"59.7
(1.4%)",60.5
392,Anderson University,673,"59.7
(20.4%)",49.6
393,Berea College,329,"59.7
(2.3%)",61.1
394,Immaculata University,385,"59.7
(1.2%)",58.9
395,Lancaster Bible College Capital Seminary & Graduate School,579,"59.6
(14.2%)",52.2
396,Arcadia University,407,"59.6
(2.1%)",58.4
397,Florida Southern College,410,"59.5
(2.1%)",58.3
398,West Chester University of Pennsylvania,338,"59.5
(1.7%)",60.5
399,Otterbein University,441,"59.5
(4.4%)",57.0
400,University of North Carolina at Charlotte,507,"59.5
(8.9%)",54.6
401,Louisiana State University and Agricultural & Mechanical College,492,"59.5
(7.9%)",55.1
402,University of Dallas,350,"59.4
(1.2%)",60.2
403,University of Health Sciences and Pharmacy in St. Louis,167,"59.4
(14.8%)",69.8
404,Westminster University,289,"59.4
(4.8%)",62.4
405,Saint Mary's College of California,300,"59.4
(4.4%)",62.1
406,Ouachita Baptist University,449,"59.3
(4.8%)",56.6
407,Eckerd College,384,"59.2
(0.5%)",59.0
408,Huntington University,566,"59.2
(12.1%)",52.8
409,Dordt University,396,"59.2
(0.8%)",58.7
410,University of Northwestern-St Paul,443,"59.2
(4.1%)",56.9
411,Cleveland Institute of Music,217,"59.2
(10.9%)",66.4
412,Michigan Technological University,444,"59.0
(3.9%)",56.8
413,Valparaiso University,367,"59.0
(0.8%)",59.4
414,Virginia Commonwealth University,464,"58.9
(5.6%)",55.8
415,Temple University,380,"58.9
(0.3%)",59.1
416,Hanover College,277,"58.8
(6.7%)",63.1
417,Sacred Heart University,364,"58.8
(1.3%)",59.6
418,Assumption University,412,"58.8
(1.0%)",58.2
419,Bellin College,546,"58.8
(10.2%)",53.3
420,University of Saint Joseph,545,"58.8
(10.1%)",53.4
421,Rutgers University-Camden,521,"58.7
(8.9%)",53.9
422,Northwest University,514,"58.7
(8.5%)",54.1
423,Capital University,488,"58.7
(6.4%)",55.2
424,San Diego State University,476,"58.7
(5.6%)",55.6
425,Milwaukee Institute of Art & Design,916,"58.6
(37.3%)",42.7
426,SUNY at Purchase College,435,"58.6
(2.5%)",57.2
427,Nova Southeastern University,474,"58.6
(5.3%)",55.7
428,Savannah College of Art and Design,414,"58.5
(0.6%)",58.1
429,College of Charleston,394,"58.5
(0.5%)",58.7
430,SUNY Maritime College,438,"58.4
(2.5%)",57.0
431,University of Mount Union,520,"58.4
(8.2%)",54.0
432,Manhattan University,404,"58.4
(0.1%)",58.5
433,CUNY Hunter College,819,"58.4
(29.4%)",45.1
434,University of Wisconsin-La Crosse,480,"58.4
(5.4%)",55.4
435,Whitworth University,319,"58.3
(5.2%)",61.5
436,Meredith College,381,"58.3
(1.3%)",59.1
437,St Catherine University,493,"58.2
(5.6%)",55.1
438,Texas Tech University,525,"58.2
(8.1%)",53.8
439,Concordia University-Wisconsin,500,"58.2
(6.0%)",54.9
440,Oklahoma City University,344,"58.2
(3.6%)",60.3
441,Oklahoma State University-Main Campus,503,"58.2
(6.3%)",54.7
442,George Fox University,448,"58.2
(2.7%)",56.6
443,Saint Edward's University,471,"58.2
(4.4%)",55.7
444,Saint Mary's University of Minnesota,479,"58.1
(4.8%)",55.4
445,University of La Verne,434,"58.1
(1.6%)",57.2
446,Slippery Rock University of Pennsylvania,433,"58.1
(1.5%)",57.2
447,University of Mary,625,"58.1
(14.4%)",50.8
448,Milligan University,246,"58.0
(10.4%)",64.7
449,University of Alabama at Birmingham,495,"58.0
(5.4%)",55.0
450,Eastern Connecticut State University,614,"57.9
(13.2%)",51.2
451,Mount Saint Mary College,592,"57.9
(11.7%)",51.9
452,Grace College and Theological Seminary,523,"57.9
(7.4%)",53.9
453,University of Utah,446,"57.8
(2.1%)",56.7
454,Ohio University-Main Campus,463,"57.8
(3.5%)",55.8
455,Goucher College,392,"57.7
(1.7%)",58.8
456,Minneapolis College of Art and Design,487,"57.7
(4.5%)",55.2
457,Massachusetts Maritime Academy,326,"57.7
(5.7%)",61.2
458,Missouri University of Science and Technology,519,"57.7
(6.7%)",54.0
459,Pacific Lutheran University,321,"57.6
(6.2%)",61.4
460,Andrews University,518,"57.5
(6.5%)",54.0
461,SUNY Polytechnic Institute,836,"57.5
(28.3%)",44.8
462,University of Northern Iowa,564,"57.4
(8.8%)",52.8
463,Embry-Riddle Aeronautical University-Daytona Beach,611,"57.4
(12.0%)",51.2
464,Embry-Riddle Aeronautical University-Prescott,603,"57.4
(11.2%)",51.6
465,The College of Saint Scholastica,358,"57.3
(4.2%)",59.8
466,Montclair State University,501,"57.3
(4.6%)",54.8
467,Carroll College,513,"57.2
(5.6%)",54.2
468,Carroll University,420,"57.2
(0.9%)",57.7
469,Towson University,423,"57.2
(0.8%)",57.6
470,Nebraska Wesleyan University,553,"57.1
(7.5%)",53.1
471,New Saint Andrews College,619,"57.1
(12.1%)",50.9
472,Champlain College,522,"57.1
(6.0%)",53.9
473,Saint Ambrose University,502,"57.1
(4.2%)",54.8
474,University of Alabama in Huntsville,652,"57.1
(13.7%)",50.2
475,Queens University of Charlotte,647,"57.0
(13.3%)",50.3
476,Widener University,361,"57.0
(4.5%)",59.7
477,Webster University,622,"56.9
(11.8%)",50.9
478,New York Institute of Technology,620,"56.9
(11.6%)",50.9
479,Pennsylvania State University-Penn State Erie-Behrend College,N/A,56.8,N/A
480,Elmhurst University,465,"56.7
(1.7%)",55.8
481,Lewis University,498,"56.7
(3.1%)",55.0
482,Illinois State University,459,"56.7
(1.2%)",56.0
483,The New School,445,"56.7
(0.1%)",56.7
484,Long Island University,699,"56.7
(16.6%)",48.6
485,Indiana Wesleyan University-Marion,426,"56.6
(1.6%)",57.5
486,Bob Jones University,452,"56.6
(0.3%)",56.4
487,Merrimack College,393,"56.5
(3.8%)",58.8
488,Elmira College,478,"56.5
(2.0%)",55.4
489,Benedictine College,472,"56.5
(1.5%)",55.7
490,Suffolk University,481,"56.5
(2.1%)",55.3
491,University of West Florida,727,"56.5
(18.6%)",47.6
492,Moore College of Art and Design,595,"56.5
(9.0%)",51.8
493,Ringling College of Art and Design,335,"56.5
(7.1%)",60.8
494,Iona University,606,"56.5
(9.7%)",51.5
495,Roanoke College,409,"56.5
(3.2%)",58.3
496,Salisbury University,440,"56.5
(0.9%)",57.0
497,Whittier College,334,"56.4
(7.3%)",60.9
498,Pacific University,422,"56.4
(2.2%)",57.7
499,New College of Florida,383,"56.4
(4.3%)",59.0
500,St. John's College,379,"56.4
(4.6%)",59.1
